County,Glaciation
Adams,Wisconsin
Allen,Wisconsin
Bartholomew,PW
Benton,Wisconsin
Blackford,Wisconsin
Boone,Wisconsin
Brown,PW
Carroll,Wisconsin
Cass,Wisconsin
Clark,PW
Clay,PW
Clinton,Wisconsin
Crawford,None
Daviess,PW
Dearborn,PW
Decatur,Wisconsin
DeKalb,Wisconsin
Delaware,Wisconsin
Dubois,None
Elkhart,Wisconsin
Fayette,Wisconsin
Floyd,None
Fountain,Wisconsin
Franklin,PW
Fulton,Wisconsin
Gibson,PW
Grant,Wisconsin
Greene,PW
Hamilton,Wisconsin
Hancock,Wisconsin
Harrison,Wisconsin
Hendricks,Wisconsin
Henry,Wisconsin
Howard,Wisconsin
Huntington,Wisconsin
Jackson,PW
Jasper,Wisconsin
Jay,Wisconsin
Jefferson,PW
Jennings,PW
Johnson,Wisconsin
Knox,PW
Kosciusko,Wisconsin
LaGrange,Wisconsin
Lake,Wisconsin
La Porte,Wisconsin
Lawrence,None
Madison,Wisconsin
Marion,Wisconsin
Marshall,Wisconsin
Martin,None
Miami,Wisconsin
Monroe,None
Montgomery,Wisconsin
Morgan,PW
Newton,Wisconsin
Noble,Wisconsin
Ohio,PW
Orange,None
Owen,PW
Parke,Wisconsin
Perry,None
Pike,None
Porter,Wisconsin
Posey,None
Pulaski,Wisconsin
Putnam,PW
Randolph,Wisconsin
Ripley,PW
Rush,Wisconsin
St. Joseph,Wisconsin
Scott,PW
Shelby,Wisconsin
Spencer,None
Starke,Wisconsin
Steuben,Wisconsin
Sullivan,PW
Switzerland,PW
Tippecanoe,Wisconsin
Tipton,Wisconsin
Union,Wisconsin
Vanderburgh,None
Vermillion,Wisconsin
Vigo,PW
Wabash,Wisconsin
Warren,Wisconsin
Warrick,None
Washington,None
Wayne,Wisconsin
Wells,Wisconsin
White,Wisconsin
Whitley,Wisconsin
