County,ImprovedFarmAcres1920,LandArea1920
Indiana,16680212,23068800
Adams,181678,215680
Allen,321262,423040
Bartholomew,196389,260480
Benton,239857,261120
Blackford,87604,107520
Boone,223674,273280
Brown,81389,207360
Carroll,195457,241280
Cass,207684,266240
Clark,141149,240000
Clay,161703,231040
Clinton,226600,261120
Crawford,94144,193920
Daviess,223446,277120
Dearborn,139595,200320
Decatur,188384,241920
DeKalb,181510,236800
Delaware,205652,250880
Dubois,178056,273280
Elkhart,220293,295680
Fayette,104587,138240
Floyd,52260,94720
Fountain,194071,252800
Franklin,158093,252160
Fulton,187889,234880
Gibson,236709,311040
Grant,219414,270720
Greene,237795,347520
Hamilton,209869,255360
Hancock,166994,196480
Harrison,183033,211040
Hendricks,197844,261120
Henry,211054,254080
Howard,162102,190080
Huntington,196094,247040
Jackson,206826,331520
Jasper,249596,359680
Jay,201452,240000
Jefferson,140390,232960
Jennings,159415,245120
Johnson,164550,206080
Knox,261428,326400
Kosciusko,249460,346240
LaGrange,177332,247680
Lake,181713,314880
La Porte,280328,380800
Lawrence,160265,291840
Madison,236504,288000
Marion,166799,254080
Marshall,209878,282240
Martin,119493,216960
Miami,186930,243840
Monroe,142944,266240
Montgomery,247692,320640
Morgan,162723,259840
Newton,183416,259200
Noble,198848,266880
Ohio,43559,54400
Orange,144761,260480
Owen,144132,251520
Parke,163139,286080
Perry,106558,245760
Pike,154110,216320
Porter,187068,265600
Posey,211752,257280
Pulaski,203293,276480
Putnam,192374,309120
Randolph,241259,286080
Ripley,199515,286720
Rush,222687,261760
St. Joseph,215250,294400
Scott,76755,121600
Shelby,221781,260480
Spencer,188647,257920
Starke,122419,195200
Steuben,140560,195200
Sullivan,210676,294400
Switzerland,102004,142080
Tippecanoe,262341,321920
Tipton,142340,166400
Union,77927,103680
Vanderburgh,113611,149120
Vermillion,102463,162560
Vigo,180023,261760
Wabash,205986,272000
Warren,179162,235520
Warrick,188831,250880
Washington,208274,332160
Wayne,197717,263040
Wells,192372,233600
White,276447,324480
Whitley,159653,216320
